datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:GLOBAL,19.29229819,19.38460584,18.73845231,18.9230676,27256897.84080814
2023-01-17 09:00:00,SET:GLOBAL,18.9230676,19.19999054,18.73845231,19.01537525,22770010.63099655
2023-01-18 09:00:00,SET:GLOBAL,19.01537525,19.01537525,18.64614466,18.64614466,17184506.96344488
2023-01-19 09:00:00,SET:GLOBAL,18.73845231,19.38460584,18.73845231,19.19999054,28177786.87768335
2023-01-20 09:00:00,SET:GLOBAL,19.19999054,19.29229819,18.9230676,19.01537525,14483793.54999837
2023-01-23 09:00:00,SET:GLOBAL,18.9230676,19.19999054,18.83075996,19.01537525,8972545.91901813
2023-01-24 09:00:00,SET:GLOBAL,19.1076829,19.1076829,18.83075996,18.9230676,7773714.57858845
2023-01-25 09:00:00,SET:GLOBAL,19.01537525,19.01537525,18.64614466,18.73845231,7766408.57499021
2023-01-26 09:00:00,SET:GLOBAL,18.73845231,18.9230676,18.46152937,18.64614466,16231115.74389553
2023-01-27 09:00:00,SET:GLOBAL,18.83075996,18.83075996,18.55383702,18.64614466,11085543.12634517
2023-01-30 09:00:00,SET:GLOBAL,18.64614466,19.19999054,18.64614466,19.1076829,21609478.39276267
2023-01-31 09:00:00,SET:GLOBAL,19.01537525,19.19999054,18.9230676,19.19999054,14378557.41483578
2023-02-01 09:00:00,SET:GLOBAL,19.29229819,19.47691348,19.19999054,19.38460584,7686119.45211413
2023-02-02 09:00:00,SET:GLOBAL,19.29229819,19.29229819,18.83075996,19.1076829,14931344.77041931
2023-02-03 09:00:00,SET:GLOBAL,19.19999054,19.56922113,19.1076829,19.47691348,12317894.98328385
2023-02-06 09:00:00,SET:GLOBAL,19.38460584,19.56922113,19.1076829,19.29229819,7511155.61594368
2023-02-07 09:00:00,SET:GLOBAL,19.29229819,19.38460584,19.1076829,19.29229819,11997673.40890666
2023-02-08 09:00:00,SET:GLOBAL,19.29229819,19.38460584,19.1076829,19.19999054,8715518.45909765
2023-02-09 09:00:00,SET:GLOBAL,19.38460584,19.38460584,19.01537525,19.1076829,6152567.19683294
2023-02-10 09:00:00,SET:GLOBAL,19.01537525,19.1076829,18.83075996,19.01537525,10127685.32126267
2023-02-13 09:00:00,SET:GLOBAL,18.55383702,18.64614466,17.72306819,17.99999113,39162629.78776655
2023-02-14 09:00:00,SET:GLOBAL,17.81537584,17.81537584,17.16922231,17.5384529,31958345.82295851
