datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:BEM,9.6,9.6,9.45,9.45,39326202.0
2023-01-17 09:00:00,SET:BEM,9.45,9.55,9.4,9.4,54278664.0
2023-01-18 09:00:00,SET:BEM,9.5,9.6,9.4,9.6,32005989.0
2023-01-19 09:00:00,SET:BEM,9.55,9.65,9.55,9.65,22843310.0
2023-01-20 09:00:00,SET:BEM,9.65,9.75,9.55,9.75,55014146.0
2023-01-23 09:00:00,SET:BEM,9.75,9.8,9.6,9.75,49684946.0
2023-01-24 09:00:00,SET:BEM,9.8,9.8,9.6,9.75,96822824.0
2023-01-25 09:00:00,SET:BEM,9.7,10.1,9.55,10.0,258770264.0
2023-01-26 09:00:00,SET:BEM,10.0,10.1,9.85,10.0,123442819.0
2023-01-27 09:00:00,SET:BEM,9.95,10.0,9.8,10.0,116311144.0
2023-01-30 09:00:00,SET:BEM,9.9,9.9,9.8,9.8,96784448.0
2023-01-31 09:00:00,SET:BEM,9.8,9.8,9.7,9.7,34247861.0
2023-02-01 09:00:00,SET:BEM,9.75,9.8,9.65,9.8,51551088.0
2023-02-02 09:00:00,SET:BEM,9.8,9.8,9.75,9.75,20857940.0
2023-02-03 09:00:00,SET:BEM,9.7,9.75,9.65,9.75,26266207.0
2023-02-06 09:00:00,SET:BEM,9.75,9.75,9.65,9.75,17750055.0
2023-02-07 09:00:00,SET:BEM,9.7,9.75,9.55,9.6,58793587.0
2023-02-08 09:00:00,SET:BEM,9.6,9.65,9.55,9.65,37282411.0
2023-02-09 09:00:00,SET:BEM,9.6,9.65,9.45,9.55,76029544.0
2023-02-10 09:00:00,SET:BEM,9.55,9.55,9.5,9.55,18500068.0
2023-02-13 09:00:00,SET:BEM,9.5,9.6,9.5,9.6,29148514.0
2023-02-14 09:00:00,SET:BEM,9.55,9.6,9.5,9.6,32936006.0
2023-02-15 09:00:00,SET:BEM,9.55,9.6,9.5,9.5,22017911.0
2023-02-16 09:00:00,SET:BEM,9.55,9.55,9.45,9.45,33856521.0
2023-02-17 09:00:00,SET:BEM,9.45,9.45,9.0,9.15,129645274.0
2023-02-20 09:00:00,SET:BEM,9.15,9.3,9.15,9.3,22532531.0
2023-02-21 09:00:00,SET:BEM,9.3,9.4,9.25,9.35,21109190.0
2023-02-22 09:00:00,SET:BEM,9.35,9.35,9.1,9.1,85081389.0
2023-02-23 09:00:00,SET:BEM,9.15,9.15,9.05,9.15,98602947.0
