datetime,symbol,open,high,low,close,volume
2023-01-16 09:00:00,SET:BTS,8.75,8.8,8.65,8.7,23765489.0
2023-01-17 09:00:00,SET:BTS,8.7,8.8,8.65,8.7,22299622.0
2023-01-18 09:00:00,SET:BTS,8.65,8.7,8.6,8.7,13453435.0
2023-01-19 09:00:00,SET:BTS,8.65,8.7,8.55,8.6,35354283.0
2023-01-20 09:00:00,SET:BTS,8.6,8.6,8.5,8.55,18470483.0
2023-01-23 09:00:00,SET:BTS,8.55,8.65,8.55,8.6,21384805.0
2023-01-24 09:00:00,SET:BTS,8.65,8.7,8.6,8.7,20175782.0
2023-01-25 09:00:00,SET:BTS,8.7,8.75,8.55,8.7,33747063.0
2023-01-26 09:00:00,SET:BTS,8.65,8.7,8.55,8.6,23622058.0
2023-01-27 09:00:00,SET:BTS,8.6,8.7,8.6,8.65,26944182.0
2023-01-30 09:00:00,SET:BTS,8.55,8.55,8.5,8.55,11847272.0
2023-01-31 09:00:00,SET:BTS,8.5,8.55,8.45,8.45,19698911.0
2023-02-01 09:00:00,SET:BTS,8.45,8.5,8.4,8.5,19590405.0
2023-02-02 09:00:00,SET:BTS,8.5,8.5,8.4,8.45,26305254.0
2023-02-03 09:00:00,SET:BTS,8.4,8.45,8.4,8.4,11151434.0
2023-02-06 09:00:00,SET:BTS,8.4,8.45,8.3,8.3,19684221.0
2023-02-07 09:00:00,SET:BTS,8.3,8.4,8.2,8.25,52782066.0
2023-02-08 09:00:00,SET:BTS,8.3,8.3,8.2,8.2,23116540.0
2023-02-09 09:00:00,SET:BTS,8.25,8.25,8.15,8.25,22552580.0
2023-02-10 09:00:00,SET:BTS,8.2,8.25,8.1,8.15,50331413.0
2023-02-13 09:00:00,SET:BTS,8.1,8.2,8.1,8.15,11624793.0
2023-02-14 09:00:00,SET:BTS,8.2,8.25,8.15,8.2,28281068.0
2023-02-15 09:00:00,SET:BTS,8.2,8.25,8.1,8.15,39022856.0
2023-02-16 09:00:00,SET:BTS,8.15,8.15,8.05,8.15,35042138.0
2023-02-17 09:00:00,SET:BTS,8.1,8.1,8.05,8.1,16282175.0
2023-02-20 09:00:00,SET:BTS,8.1,8.15,8.05,8.1,10591530.0
2023-02-21 09:00:00,SET:BTS,8.1,8.25,8.05,8.25,34929566.0
2023-02-22 09:00:00,SET:BTS,8.2,8.25,8.0,8.05,54126128.0
2023-02-23 09:00:00,SET:BTS,8.05,8.05,8.0,8.0,15949719.0
2023-02-24 09:00:00,SET:BTS,8.05,8.05,7.95,8.0,34045922.0
2023-02-27 09:00:00,SET:BTS,8.0,8.05,7.95,7.95,14300662.0
2023-02-28 09:00:00,SET:BTS,7.95,8.05,7.95,8.05,48166290.0
2023-03-01 09:00:00,SET:BTS,8.05,8.1,7.85,7.85,63526825.0
2023-03-02 09:00:00,SET:BTS,7.9,7.9,7.8,7.8,47304568.0
2023-03-03 09:00:00,SET:BTS,7.85,7.85,7.55,7.65,75031664.0
2023-03-07 09:00:00,SET:BTS,7.75,7.9,7.7,7.75,21406369.0
2023-03-08 09:00:00,SET:BTS,7.65,7.75,7.55,7.7,36878198.0
2023-03-09 09:00:00,SET:BTS,7.7,7.75,7.65,7.7,26788093.0
2023-03-10 09:00:00,SET:BTS,7.65,7.7,7.55,7.55,33538866.0
2023-03-13 09:00:00,SET:BTS,5.4,7.2,5.4,6.9,396875870.0
2023-03-14 09:00:00,SET:BTS,6.9,7.0,6.65,6.7,146036790.0
2023-03-15 09:00:00,SET:BTS,6.9,7.25,6.8,7.15,96857026.0
2023-03-16 09:00:00,SET:BTS,7.05,7.25,7.0,7.1,60772907.0
2023-03-17 09:00:00,SET:BTS,7.15,7.2,7.0,7.1,83081721.0
2023-03-20 09:00:00,SET:BTS,7.1,7.1,6.9,6.95,57952408.0
2023-03-21 09:00:00,SET:BTS,7.05,7.05,6.95,7.0,39345706.0
2023-03-22 09:00:00,SET:BTS,7.0,7.1,7.0,7.05,31070701.0
2023-03-23 09:00:00,SET:BTS,7.05,7.15,7.0,7.15,38733173.0
2023-03-24 09:00:00,SET:BTS,7.15,7.2,7.05,7.2,52753244.0
2023-03-27 09:00:00,SET:BTS,7.2,7.25,7.1,7.1,14882649.0
2023-03-28 09:00:00,SET:BTS,7.15,7.25,7.1,7.15,35194834.0
2023-03-29 09:00:00,SET:BTS,7.15,7.2,7.05,7.15,19332331.0
2023-03-30 09:00:00,SET:BTS,7.15,7.25,7.0,7.0,31655790.0
2023-03-31 09:00:00,SET:BTS,7.05,7.1,7.0,7.1,22612333.0
2023-04-03 09:00:00,SET:BTS,7.1,7.2,7.0,7.1,20364737.0
2023-04-04 09:00:00,SET:BTS,7.15,7.3,7.15,7.2,52187273.0
2023-04-05 09:00:00,SET:BTS,7.2,7.3,7.1,7.15,33132701.0
2023-04-07 09:00:00,SET:BTS,7.3,7.5,7.3,7.4,66398362.0
2023-04-10 09:00:00,SET:BTS,7.4,7.65,7.4,7.55,48482606.0
2023-04-11 09:00:00,SET:BTS,7.55,7.6,7.35,7.45,31172785.0
2023-04-12 09:00:00,SET:BTS,7.5,7.6,7.4,7.6,29318609.0
2023-04-17 09:00:00,SET:BTS,7.7,7.8,7.65,7.75,36723341.0
2023-04-18 09:00:00,SET:BTS,7.75,7.8,7.65,7.7,21604833.0
2023-04-19 09:00:00,SET:BTS,7.7,7.75,7.6,7.7,35003164.0
2023-04-20 09:00:00,SET:BTS,7.7,7.8,7.55,7.6,32545775.0
2023-04-21 09:00:00,SET:BTS,7.6,7.75,7.6,7.7,25815605.0
2023-04-24 09:00:00,SET:BTS,7.7,7.75,7.6,7.7,14316138.0
2023-04-25 09:00:00,SET:BTS,7.75,7.75,7.5,7.55,30583430.0
2023-04-26 09:00:00,SET:BTS,7.55,7.8,7.55,7.8,41224260.0
2023-04-27 09:00:00,SET:BTS,7.8,7.85,7.7,7.8,22005653.0
2023-04-28 09:00:00,SET:BTS,7.8,7.85,7.6,7.7,30197948.0
2023-05-02 09:00:00,SET:BTS,7.75,7.9,7.7,7.75,33433383.0
2023-05-03 09:00:00,SET:BTS,7.7,7.8,7.6,7.8,23440317.0
2023-05-08 09:00:00,SET:BTS,7.85,7.95,7.7,7.75,54491500.0
2023-05-09 09:00:00,SET:BTS,7.8,7.85,7.7,7.8,30555100.0
2023-05-10 09:00:00,SET:BTS,7.8,7.85,7.65,7.8,26427600.0
2023-05-11 09:00:00,SET:BTS,7.8,7.85,7.65,7.8,31738500.0
2023-05-12 09:00:00,SET:BTS,7.8,7.85,7.65,7.7,33649850.0
2023-05-15 09:00:00,SET:BTS,7.75,7.85,7.5,7.55,34581900.0
2023-05-16 09:00:00,SET:BTS,7.55,7.65,7.55,7.6,16888607.0
2023-05-17 09:00:00,SET:BTS,7.6,7.6,7.4,7.55,29591814.0
2023-05-18 09:00:00,SET:BTS,7.55,7.6,7.25,7.4,50030928.0
